,_id,FIRST,LAST,ADDRESS,CITY,STATE,ZIP,LASTSENDDATE,LASTREPLY,RESPONSECATEGORY
81966,62fa919b39fe7a3ec9754765,,Alexander,208 Elm Dr,Madison, AL,35758.0,2019-05-20 04:15:48+00:00,2020-11-25 11:40:40,
60919,62fa919b39fe7a3ec974f52e,,Alexander,9889 Glen Cv,,,,2021-04-18 19:05:28+00:00,2021-10-14 07:07:06,UNSURE
44316,62fa919b39fe7a3ec974b453,,Alexander,3171 Elm Cv,Camp Hill, PA,17011.0,2021-01-02 07:35:02+00:00,2021-12-03 03:32:28,
28382,62fa919b39fe7a3ec9747615,,Alexander,8571 W Glendale Dr,Seymour, IN,47274.0,2021-08-22 16:06:16+00:00,2021-10-16 18:39:04,DONOTCONTACT
68929,62fa919b39fe7a3ec9751478,,Alexander,8544 Poplar Cv,North Attleboro, MA,2760.0,2020-12-13 14:47:33+00:00,2021-07-02 07:09:28,
45802,62fa919b39fe7a3ec974ba21,,Alexander,8021 4th St,Melbourne, FL,32904.0,2020-02-18 04:27:50+00:00,2021-04-27 01:58:02,POSITIVE
58713,62fa919b39fe7a3ec974ec90,,Alexander,1867 3rd Rd,Douglasville, GA,30134.0,2019-11-17 22:45:15+00:00,2020-09-04 19:41:03,FOLLOWUP
53400,62fa919b39fe7a3ec974d7cf,,Alexander,837 E Oak Cv,Mchenry, IL,60050.0,2020-09-21 07:13:05+00:00,2021-01-16 03:31:19,POSITIVE
1253,62fa919b39fe7a3ec9740c1c,,Alexander,7565 E Glenn St,Arvada, CO,80003.0,2021-08-18 09:30:56+00:00,2021-10-11 02:52:20,
76226,62fa919b39fe7a3ec97530f9,,Alexander,5667 Cedar St,North Attleboro, MA,2760.0,2021-07-08 06:59:10+00:00,2021-09-27 21:19:18,UNSURE
89011,62fa919b39fe7a3ec97562ea,,Alexander,4232 E 8th Ave,New Albany, IN,47150.0,2019-06-16 13:37:12+00:00,2021-08-16 22:56:14,UNSURE
38097,62fa919b39fe7a3ec9749c08,,Alexander,9299 Second St,Camas, WA,98607.0,2020-06-20 13:26:14+00:00,2021-05-19 16:01:29,UNSURE
71619,62fa919b39fe7a3ec9751efa,,Alexander,9059 W Sleepy Ln,Stillwater, MN,55082.0,2019-05-29 09:21:23+00:00,2020-04-19 05:07:40,FOLLOWUP
94621,62fa919b39fe7a3ec97578d4,,Alexander,1081 E Burbank St,North Attleboro, MA,2760.0,2021-01-10 16:11:38+00:00,2021-02-28 20:27:06,POSITIVE
7606,62fa919b39fe7a3ec97424ed,,Alexander,7657 Cedar Blvd,Seymour, IN,47274.0,2019-03-05 04:33:48+00:00,2020-01-26 01:34:47,POSITIVE
47708,62fa919b39fe7a3ec974c193,,Alexander,649 E Sleepy Cv,Westport, CT,6880.0,2020-01-21 06:19:26+00:00,2020-08-12 09:42:51,NEGATIVE
21152,62fa919b39fe7a3ec97459d7,,Alexander,4747 Shelby Rd,Gastonia, NC,28052.0,2020-06-15 10:16:45+00:00,2020-11-23 10:58:07,
4344,62fa919b39fe7a3ec974182f,,Alexander,8940 5th Dr,Moorhead, MN,56560.0,2019-01-19 10:12:46+00:00,2020-08-14 19:51:27,POSITIVE
82216,62fa919b39fe7a3ec975485f,,Alexander,6096 N Glenn Dr,Millington, TN,38053.0,2021-03-08 03:59:41+00:00,2021-04-09 05:36:26,DONOTCONTACT
81442,62fa919b39fe7a3ec9754559,,Alexander,5488 Main Ave,Kalamazoo, MI,49009.0,2019-07-21 00:05:05+00:00,2021-10-16 17:54:55,UNSURE
66704,62fa919b39fe7a3ec9750bc7,,Alexander,3868 Faith Dr,Gastonia, NC,28052.0,2021-07-06 10:23:50+00:00,2021-08-28 11:53:41,FOLLOWUP
38773,62fa919b39fe7a3ec9749eac,,Alexander,849 Main Blvd,Kalamazoo, MI,49009.0,2021-01-07 01:06:25+00:00,2021-11-05 09:28:53,NEGATIVE
39622,62fa919b39fe7a3ec974a1fd,,Alexander,1190 W Elm Dr,Madison, AL,35758.0,2019-04-20 17:10:26+00:00,2020-03-06 08:44:40,DONOTCONTACT
32926,62fa919b39fe7a3ec97487d5,,Alexander,9876 N Pratt Cv,Stillwater, MN,55082.0,2019-05-30 03:44:16+00:00,2021-08-23 22:30:58,DONOTCONTACT
33749,62fa919b39fe7a3ec9748b0c,,Alexander,5945 E Main Rd,Marion, NC,28752.0,2020-10-30 08:46:19+00:00,2021-09-21 21:31:40,
27090,62fa919b39fe7a3ec9747109,,Andrade,1112 Sunny Ln,North Attleboro, MA,2760.0,2019-08-28 18:47:52+00:00,2019-09-10 10:52:22,NEGATIVE
27318,62fa919b39fe7a3ec97471ed,,Andrade,4110 N Elm Ln,Camp Hill, PA,17011.0,2020-04-02 13:04:41+00:00,2021-11-26 13:10:37,FOLLOWUP
27152,62fa919b39fe7a3ec9747147,,Andrade,8169 N 4th Ln,Clearwater, FL,33756.0,2019-07-14 15:31:01+00:00,2021-04-17 07:17:04,POSITIVE
58196,62fa919b39fe7a3ec974ea8b,,Andrade,1668 4th Rd,Marion, NC,28752.0,2019-09-23 03:52:17+00:00,2020-05-29 16:48:50,POSITIVE
27097,62fa919b39fe7a3ec9747110,,Andrade,9363 E Martin Luther King Dr,Richardson, TX,75080.0,2019-12-18 01:10:04+00:00,2020-02-06 00:52:46,FOLLOWUP
93918,62fa919b39fe7a3ec9757615,,Andrade,9894 Sharp Dr,Pearl, MS,39208.0,2019-09-03 22:10:27+00:00,2020-08-01 20:39:35,POSITIVE
41445,62fa919b39fe7a3ec974a91c,,Andrade,3919 8th Cv,Phillipsburg, NJ,8865.0,2019-09-16 16:37:38+00:00,2020-04-16 09:04:29,
95961,62fa919b39fe7a3ec9757e10,,Andrade,8536 W Second Dr,Mahwah, NJ,7430.0,2021-02-26 02:14:16+00:00,2021-06-29 15:05:40,DONOTCONTACT
78625,62fa919b39fe7a3ec9753a58,,Andrade,5645 Sunny Rd,West Palm Beach, FL,33404.0,2020-12-14 22:48:19+00:00,2021-02-24 10:23:12,DONOTCONTACT
43385,62fa919b39fe7a3ec974b0b0,,Andrade,1135 N Purchase Cv,Elizabeth City, NC,27909.0,2020-04-06 12:33:11+00:00,2021-02-18 22:39:42,UNSURE
79962,62fa919b39fe7a3ec9753f91,,Andrade,5701 Burbank St,Marion, NC,28752.0,2019-03-23 22:27:39+00:00,2021-06-18 10:22:47,DONOTCONTACT
96682,62fa919b39fe7a3ec97580e1,,Andrade,3443 S Samuel Rd,New Albany, IN,47150.0,2020-07-02 20:24:08+00:00,2021-11-04 10:30:12,POSITIVE
18183,62fa919b39fe7a3ec9744e3e,,Andrade,2798 N Sunny Ave,Gastonia, NC,28052.0,2019-01-02 16:13:29+00:00,2020-12-26 07:31:01,UNSURE
27676,62fa919b39fe7a3ec9747353,,Andrade,4885 N 8th Rd,Schenectady, NY,12302.0,2019-06-08 05:15:22+00:00,2020-03-26 22:44:56,FOLLOWUP
57887,62fa919b39fe7a3ec974e956,,Andrade,9280 E Olsonvill Dr,Westport, CT,6880.0,2021-11-12 20:39:18+00:00,2021-12-10 00:04:08,
