,_id,FIRST,LAST,ADDRESS,CITY,STATE,ZIP,LASTSENDDATE,LASTREPLY,RESPONSECATEGORY
98920,62fa919b39fe7a3ec975899f,Lindsey,Pollard,8736 Ethel Ave,Miami Gardens, FL,33056.0,2019-10-19 06:33:16+00:00,2020-01-01 00:10:44,DONOTCONTACT
68197,62fa919b39fe7a3ec975119c,Calvin,Jensen,1097 E Shelby St,Pearl, MS,39208.0,2019-09-01 23:20:38+00:00,2020-01-01 00:13:12,UNSURE
77062,62fa919b39fe7a3ec975343d,Chris,Cassidy,2706 Martin Luther King Blvd,Kalamazoo, MI,49009.0,2019-09-29 17:38:05+00:00,2020-01-01 00:21:07,DONOTCONTACT
27614,62fa919b39fe7a3ec9747315,Krystal,Cahill,9675 E Pratt Blvd,Douglasville, GA,30134.0,2019-08-03 15:59:29+00:00,2020-01-01 00:38:31,UNSURE
40971,62fa919b39fe7a3ec974a742,Jessica,Case,2804 W Burbank Rd,Delaware, OH,43015.0,2019-05-08 14:55:03+00:00,2020-01-01 00:42:58,FOLLOWUP
75067,62fa919b39fe7a3ec9752c72,Shane,Hinton,6414 S Daniel Blvd,Westmont, IL,60559.0,2019-11-20 10:30:14+00:00,2020-01-01 00:45:14,NEGATIVE
46574,62fa919b39fe7a3ec974bd25,Rene,Donovan,3854 N Olsonvill Dr,Quakertown, PA,18951.0,2019-07-19 20:45:13+00:00,2020-01-01 02:41:55,UNSURE
52450,62fa919b39fe7a3ec974d419,Maria,Case,8980 Main Dr,Oshkosh, WI,54901.0,2019-09-30 21:42:41+00:00,2020-01-01 03:11:55,NEGATIVE
44499,62fa919b39fe7a3ec974b50a,Robyn,Benton,9052 N 2nd Dr,Rocky Mount, NC,27804.0,2019-02-20 02:15:31+00:00,2020-01-01 03:19:57,DONOTCONTACT
20639,62fa919b39fe7a3ec97457d6,Rolando,Bassett,2513 Mount Pleasant Ave,Lewis Center, OH,43035.0,2019-12-14 10:53:37+00:00,2020-01-01 03:33:15,POSITIVE
99766,62fa919b39fe7a3ec9758ced,Lois,Suarez,6168 E Olsonvill Ave,Millington, TN,38053.0,2019-05-15 01:09:09+00:00,2020-01-01 03:44:45,POSITIVE
78263,62fa919b39fe7a3ec97538ee,Christi,Cahill,2138 Glendale Ave,Stillwater, MN,55082.0,2019-07-03 20:49:19+00:00,2020-01-01 04:36:52,
28168,62fa919b39fe7a3ec974753f,Gale,Rowe,5623 S  St,Olive Branch, MS,38654.0,2019-04-09 08:24:32+00:00,2020-01-01 04:58:57,
26146,62fa919b39fe7a3ec9746d59,Calvin,Benton,4506 S Armstrong Dr,Rocky Mount, NC,27804.0,2019-09-08 23:31:41+00:00,2020-01-01 05:01:11,
39774,62fa919b39fe7a3ec974a295,Todd,French,5772 S Elm St,Quakertown, PA,18951.0,2019-12-12 14:53:02+00:00,2020-01-01 05:44:41,DONOTCONTACT
449,62fa919b39fe7a3ec97408f8,Michele,Cassidy,8792 S Armstrong Cv,Hartford, CT,6106.0,2019-09-09 06:13:16+00:00,2020-01-01 07:06:21,DONOTCONTACT
81166,62fa919b39fe7a3ec9754445,Krystal,Suarez,5226 4th Rd,Stillwater, MN,55082.0,2019-04-13 02:11:08+00:00,2020-01-01 07:06:40,
21147,62fa919b39fe7a3ec97459d2,Susana,Snell,7099 Sunny Rd,Mchenry, IL,60050.0,2019-09-12 21:36:35+00:00,2020-01-01 07:56:59,POSITIVE
19332,62fa919b39fe7a3ec97452bb,Christi,Hinton,515 Seaside Cv,Jamaica, NY,11432.0,2019-02-04 01:40:01+00:00,2020-01-01 09:11:27,
2161,62fa919b39fe7a3ec9740fa8,Verna,Phillips,9152 W Peter Dr,Clearwater, FL,33756.0,2019-10-26 22:45:27+00:00,2020-01-01 10:26:02,FOLLOWUP
69683,62fa919b39fe7a3ec975176a,Cecilia,Rowe,9071 E Maple St,Westport, CT,6880.0,2019-01-02 10:26:31+00:00,2020-01-01 10:34:07,NEGATIVE
74177,62fa919b39fe7a3ec97528f8,Scott,Robbins,8974 Pine Ave,Oshkosh, WI,54901.0,2019-10-19 19:23:44+00:00,2020-01-01 11:15:07,POSITIVE
29359,62fa919b39fe7a3ec97479e6,Calvin,Suarez,7073 E Fourth Rd,Anaheim, CA,92806.0,2019-06-25 00:49:08+00:00,2020-01-01 11:24:39,POSITIVE
46725,62fa919b39fe7a3ec974bdbc,Ernest,Jensen,1879 W Shelby Rd,Quakertown, PA,18951.0,2019-06-16 11:08:37+00:00,2020-01-01 13:23:28,
90047,62fa919b39fe7a3ec97566f6,Darla,Robbins,2720 Main Dr,Lewis Center, OH,43035.0,2019-09-17 20:45:03+00:00,2020-01-01 13:41:02,
