,_id,FIRST,LAST,ADDRESS,CITY,STATE,ZIP,LASTSENDDATE,LASTREPLY,RESPONSECATEGORY
45493,62fa919b39fe7a3ec974b8ec,Shane,Cahill,6806 Fourth St,Paterson, NJ,7501.0,2019-04-01 18:56:28+00:00,2020-09-01 00:54:57,DONOTCONTACT
15220,62fa919b39fe7a3ec97442ab,Yvette,Hutchinson,5534 Martin Luther King Rd,Jamaica, NY,11432.0,2020-06-09 15:06:35+00:00,2020-09-01 01:25:44,DONOTCONTACT
21188,62fa919b39fe7a3ec97459fb,Mayra,Compton,176 N Burbank Blvd,Kalamazoo, MI,49009.0,2020-04-14 16:05:04+00:00,2020-09-01 01:32:53,UNSURE
38072,62fa919b39fe7a3ec9749bef,Yvette,Benton,2800 S Cedar St,West Palm Beach, FL,33404.0,2019-02-20 14:56:46+00:00,2020-09-01 02:21:51,UNSURE
68214,62fa919b39fe7a3ec97511ad,Juan,Church,8271 E Olsonvill Rd,Kalamazoo, MI,49009.0,2020-03-20 06:06:54+00:00,2020-09-01 04:01:45,UNSURE
33726,62fa919b39fe7a3ec9748af5,Todd,Moody,5562 Second Ave,Schenectady, NY,12302.0,2019-02-01 16:37:09+00:00,2020-09-01 04:52:34,NEGATIVE
48255,62fa919b39fe7a3ec974c3b6,Mayra,Suarez,3602 Armstrong St,Pearl, MS,39208.0,2020-02-05 04:58:16+00:00,2020-09-01 05:03:30,NEGATIVE
96294,62fa919b39fe7a3ec9757f5d,Chris,Phillips,8622 Glendale St,Kalamazoo, MI,49009.0,2020-07-06 09:57:11+00:00,2020-09-01 05:11:49,UNSURE
42183,62fa919b39fe7a3ec974abfe,Irene,Bowers,2987 S 2nd St,Gastonia, NC,28052.0,2019-10-06 13:27:23+00:00,2020-09-01 05:50:23,UNSURE
39585,62fa919b39fe7a3ec974a1d8,Hope,Church,9313 S Samuel Blvd,Rocky Mount, NC,27804.0,2020-03-18 20:01:25+00:00,2020-09-01 06:36:21,UNSURE
5440,62fa919b39fe7a3ec9741c77,Ernest,Craig,631 Eighth Rd,North Attleboro, MA,2760.0,2020-06-13 22:58:36+00:00,2020-09-01 07:36:23,UNSURE
47526,62fa919b39fe7a3ec974c0dd,Juan,Rowe,9224 N 6th St,Hartford, CT,6106.0,2019-06-23 23:46:45+00:00,2020-09-01 07:53:16,NEGATIVE
71331,62fa919b39fe7a3ec9751dda,Michele,Robbins,7001 1st Rd,Patchogue, NY,11772.0,2019-05-28 08:42:36+00:00,2020-09-01 08:51:25,UNSURE
18170,62fa919b39fe7a3ec9744e31,Cecilia,Sheppard,1796 Main Cv,Marion, NC,28752.0,2019-08-11 01:00:55+00:00,2020-09-01 11:07:21,DONOTCONTACT
59569,62fa919b39fe7a3ec974efe8,Cecelia,Grant,7909 1st Cv,Paterson, NJ,7501.0,2020-01-21 00:57:50+00:00,2020-09-01 11:15:59,UNSURE
71749,62fa919b39fe7a3ec9751f7c,Robyn,Harvey,9937 Glendale Blvd,Patchogue, NY,11772.0,2020-04-17 20:36:56+00:00,2020-09-01 12:28:40,NEGATIVE
60823,62fa919b39fe7a3ec974f4ce,Adriana,Watson,1994 Sharp Ln,Paterson, NJ,7501.0,2019-08-21 08:11:46+00:00,2020-09-01 12:31:42,UNSURE
4755,62fa919b39fe7a3ec97419ca,Mayra,Ayers,3052 S Armstrong Blvd,Anaheim, CA,92806.0,2019-07-12 08:20:43+00:00,2020-09-01 12:43:54,DONOTCONTACT
71735,62fa919b39fe7a3ec9751f6e,Susana,Strickland,6874 Daniel Cv,Media, PA,19063.0,2019-10-14 02:40:51+00:00,2020-09-01 12:50:15,DONOTCONTACT
34708,62fa919b39fe7a3ec9748ecb,Chris,Proctor,591 E 12th Dr,Camp Hill, PA,17011.0,2019-01-08 14:35:55+00:00,2020-09-01 13:05:55,UNSURE
17043,62fa919b39fe7a3ec97449ca,Robyn,Watson,7302 S 5th Blvd,Richardson, TX,75080.0,2020-07-30 02:22:49+00:00,2020-09-01 14:42:15,UNSURE
87001,62fa919b39fe7a3ec9755b10,Ernest,Burke,1597 N Oak Dr,West Palm Beach, FL,33404.0,2020-08-02 10:31:40+00:00,2020-09-01 16:26:51,UNSURE
69783,62fa919b39fe7a3ec97517ce,Kristina,Powers,7681 E Daniel Rd,Elizabeth City, NC,27909.0,2020-02-17 11:28:42+00:00,2020-09-01 16:36:29,NEGATIVE
60463,62fa919b39fe7a3ec974f366,Lois,Bassett,526 W Cedar Blvd,Jamaica, NY,11432.0,2020-06-02 12:03:07+00:00,2020-09-01 16:47:57,NEGATIVE
43169,62fa919b39fe7a3ec974afd8,Cecelia,Craig,1833 Glendale Dr,Paterson, NJ,7501.0,2019-08-10 16:21:02+00:00,2020-09-01 17:44:04,UNSURE
44403,62fa919b39fe7a3ec974b4aa,Ingrid,Bassett,4943 S Shelby Cv,Quakertown, PA,18951.0,2020-05-06 05:32:38+00:00,2020-09-01 18:00:08,UNSURE
49193,62fa919b39fe7a3ec974c760,Cristina,,3974 W Mount Pleasant Ln,Clearwater, FL,33756.0,2020-02-24 19:43:45+00:00,2020-09-01 18:13:48,UNSURE
54711,62fa919b39fe7a3ec974dcee,Dora,Conley,230 Fourth Ln,Seattle, WA,98144.0,2019-05-28 12:03:53+00:00,2020-09-01 18:18:50,NEGATIVE
81791,62fa919b39fe7a3ec97546b6,Cecilia,Conley,643 W Riverside Ln,Westmont, IL,60559.0,2020-01-25 21:45:26+00:00,2020-09-01 18:31:46,DONOTCONTACT
36591,62fa919b39fe7a3ec9749626,Shane,Cahill,7922 Peter Rd,Westmont, IL,60559.0,2020-05-15 05:39:20+00:00,2020-09-01 18:32:03,UNSURE
67349,62fa919b39fe7a3ec9750e4c,Rolando,Terry,2255 S Faith Rd,Millington, TN,38053.0,2019-01-19 06:29:46+00:00,2020-09-01 18:55:32,DONOTCONTACT
76325,62fa919b39fe7a3ec975315c,Hope,Grant,8738 Armstrong St,Clearwater, FL,33756.0,2019-09-03 16:49:46+00:00,2020-09-01 19:26:29,DONOTCONTACT
